科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要
売掛金,北見木材(株),札幌市手稲区曙2条3丁目2-20,246950,
〃,(株)ブルケン東日本,札幌市白石区流通センター4丁目1-25,244734,
〃,(株)三津橋,石狩市花畔140-4,237820,
〃,(株)リョウュウ,札幌市東区北34条東28丁目9-25,228872,
〃,(株)エミヤホールディングス,札幌市白石区流通センター7丁目8-1,213580,
〃,(株)丸幸木材店,札幌市白石区北郷1条1丁目7-7,213183,
〃,DCMホーマック(株),札幌市厚別区厚別中央3条2丁目1-1,208487,
〃,(株)サンユー,札幌市北区北9条西3丁目10-1,205555,
〃,(株)奥野工務店,札幌市白石区本通8丁目北6-7,204253,
〃,(有)岩崎建築施工,北広島市西の里272-13,202292,
〃,潮産業(株),函館市西桔梗町591-33,201995,
〃,テクノコネクト(株),札幌市白石区菊水元町1条2丁目3-8,200200,
〃,(株)新六商店,札幌市東区北8条東11丁目1-41,197923,
〃,(株)リベラル,札幌市北区篠路町拓北6-183,184844,
〃,(株)クワザワ工業,札幌市白石区中央2条7丁目1-1,175670,
〃,(株)イブカ,札幌市白石区平和通15丁目北9-18,172942,
〃,明和(株),札幌市白石区菊水元町2条1丁目5-25,172590,
〃,(株)モリチュウ,札幌市白石区北郷3条2-1-3,168853,
〃,(株)オーエスライン,札幌市北区屯田4条5丁目10-6,164978,
〃,ダイアックス(株),札幌市西区琴似1条3丁目1-33,162789,
〃,(有)ティンク,札幌市南区澄川4条2丁目3-24,158037,
〃,(株)アート工装,札幌市中央区大通東5丁目4,151096,
〃,(株)ニッタクス,札幌市東区北12条東14丁目2-10,142155,
〃,(株)キムラ,札幌市東区北6条東4丁目1-7,140250,
〃,紺野建設(株),上川郡清水町南3条8-1,139640,
〃,(株)トレッフガルテン,札幌市中央区南15条西13丁目2-43-104,130350,
計,,,,
