"名称(氏名)","所在地(住所)","期末現在高","摘要"
"滝沢ハム(株)","栃木県栃木市泉川町556","88000",""
"武井漬物製造(株)","太田市六千石町48","18700",""
"(有)立花技研","渋川市北橘町八崎1437-1","88000",""
"ダノンジャパン(株)本社財務部","東京都目黒区上目黒2-1-1","258500",""
"田村産業(株)","高崎市京目町841-15","178750",""
"中央資材(株)","佐波郡玉村町下新田267","13750",""
"デンカ(株)渋川工場","渋川市中村1135","169400",""
"東亜道路工業(株)北関東工場","伊勢崎市稲荷町451-3","39600",""
"東京電機産業(株)千葉支店","千葉県市原市古市場656-1","243100",""
"東京ピグメント(株)","埼玉県熊谷市御稜威ヶ原201-11","753500",""
"(株)東武宇都宮百貨店外商部","東京都墨田区押上2-18-12","176000",""
"(株)東芝柏崎工場","新潟県柏崎市軽井川931-21","90200",""
"(株)東芝横浜事業所","神奈川県横浜市磯子区新杉田8","55000",""
"トモエ乳業(株)","茨城県古河市下辺見1955","33000",""
"トヨタカローラ高崎(株)","高崎市昭和町41","165000",""
"(株)ドンレミー","高崎市保渡田町278-1","13200",""
"永田紙業(株)本庄事業所","埼玉県本庄市児玉町大字共栄字南共和300-4","231000",""
"中山電機(株)","高崎市江木町1019","99000",""
"日工(株)","兵庫県明石市大久保町江井島1013-1","215600",""
"日興リカ(株)群馬工場","邑楽郡明和町大佐貫22","792000",""
"日本カーリット(株)群馬工場","渋川市半田2470","2095500",""
"日本カーリット(株)赤城工場","渋川市赤城町北赤城山13-9","629200",""
"日本ピグメント(株)","埼玉県深谷市白草台2909-52","3850",""
"日本電計(株)","茨城県つくば市東光台4-4-2","132000",""
"日本デルモンテ(株)群馬工場","沼田市清水町3748","207900",""
"長谷川香料(株)","邑楽郡板倉町大蔵10-3","258500",""
"バリーカレボージャパン(株)","高崎市宮原町2-1","1496000",""
"ハルナプロデュース(株)ハルナプラント","高崎市足門町39-1","816200",""
"ハルナプロデュース(株)タニガワプラント","利根郡みなかみ町政所1011","663300",""
"小計","","",""
