"科目","登録番号","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","","アートスペース(株)","宮城県仙台戸宮城野区扇町5-9-16","225104",""
"売掛金","","金子金物(株)","茨城県水戸行笠原町644-1","223806",""
"売掛金","","(株)三光ボルト","青森県十和田市東十二番町11-15","222387",""
"売掛金","","株式会社友羽総業","沖縄県うるま市字栄野比82番地1","220259",""
"売掛金","","(株)プラテック","群馬県高崎市行力町270-5","217470",""
"売掛金","","株式会社日新電器産業","沖縄県浦添市大平1-20-1","215941",""
"売掛金","","(株)佐勘金物店","宮城県仙台市青葉区八幡5-2-8","212679",""
"売掛金","","株式会社屋部土建(工務部)","沖縄県うるま市石川東山3407-1","210595",""
"売掛金","","株式会社親川鋼業","沖縄県南城市知念知名236","210547",""
"売掛金","","建材工業株式会社","大阪府大阪市中央区南本町4-5-7東亜ビル6F","209000",""
"売掛金","","(株)キョーワ","秋田県大館市釈迦内字家後18-13","209000",""
"売掛金","","上間鋼材株式会社(鋼材部)","沖縄県名護市大北3-19-46","208010",""
"売掛金","","ホームセンタータバタ(石川店)","沖縄県うるま市石川赤崎2-2-1","206559",""
"売掛金","","(株)南光台金物長命ケ丘支店","宮城県仙台市泉区長命ケ丘3-3-16","204741",""
"売掛金","","丸井産業(株)福島(営)","福島県福島市上鳥渡字街道北1-1","203340",""
"売掛金","","(株)角庄商店","福島県伊達市梁川町大館142番地","203015",""
"売掛金","","株式会社美和建設","泊縄県うるま市字赤道543番地1","200763",""
"売掛金","","株式会社長嶺商会","沖縄県与那原町字与那原203-7","200380",""
"売掛金","","東光産業(株)能代店","秋田県能代市臥竜山39-8","200336",""
"売掛金","","その他573件","","30258073",""
"","","売掛金計","","1725982452",""
"未収入金","T7360001024303","タイガーグローバル(株)","沖縄県うるま市勝連南風原5194番地37","29213881",""
"未収入金","T3360001008565","沖縄電力(株)","沖縄県浦添市牧港5丁目2番1号","3807188",""
"未収入金","T7360001007662","拓南商事(株)","沖縄県うるま市字州崎8番地2","843120",""
"未収入金","T9010001031687","吉野石膏(株)","東京都千代田区丸の内3丁目3番1号新東京ビル内","407889",""
"未収入金","","広西盛虎金属製品有限公司","中国広西壮族自治区南寧市大沙田経済開発区銀凱工業園洪歴路19号","403879",""
"計","","","","",""
