"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","株式会社YUME沖縄DesignWorks","泊縄県沖縄市比屋根2-8-31","901758",""
"売掛金","株式会社大成開発","沖縄県南城市大里字仲間1000番地","894241",""
"売掛金","(株)小林商工","青森県上北郡六ケ所村大字倉内字笹崎358","889356",""
"売掛金","丸井産業(株)山口西営業所","山口県下関市王喜本町6-1-19","887645",""
"売掛金","株式会社千八","福岡県遠賀郡遠賀町虫生津南9-5","885555",""
"売掛金","金秀鋼材株式会社(建装部)建装工","沖縄県西原町小那覇1212","882154",""
"売掛金","株式会社樹産業","泊縄県うるま市昆布1121番5","879709",""
"売掛金","棚原内装","沖縄県南風原町字宮平873-14","852416",""
"売掛金","株式会社トウエイ(土木)","沖縄県浦添市内間2-6-16","851961",""
"売掛金","株式会社ホームショッフみなみ2号店だい","沖縄県糸満市字北波平310-1","850286",""
"売掛金","株式会社桐井製作所熊本営業所","福岡県福岡市博多区御供所町1番1号","849750",""
"売掛金","華工業","沖縄県読谷村字長浜1675-1ラポール読山202","843038",""
"売掛金","有限会社三和工業","沖縄県うるま市田場1836-1","842859",""
"売掛金","有限会社シンワサービス","沖縄県西原町兼久210","842402",""
"売掛金","サンコー物産株式会社福岡営業所","福岡県福岡市南区清水3丁目20番15号","835797",""
"売掛金","サンコー物産株式会社大阪営業所","大阪府西区堀江4-33-29","834537",""
"売掛金","初穂商事株式会社広島営業所","広島県広島市南区出島二丁目4番38号","832761",""
"売掛金","(株)創伸","仙台市太白区西中田7-37-20","832304",""
"売掛金","株式会社屋良材木店","沖縄県宜野湾市野嵩2丁目34番5号","808005",""
"売掛金","有限会社丸親建設","沖縄県那覇市小禄1丁目17-23","802813",""
"売掛金","有限会社三和商事","沖縄県八重瀬町外間202","801632",""
"売掛金","セブンプラン株式会社","沖縄県うるま市みどり町4-15-16","796815",""
"売掛金","(株)インダストリー・コーワ","愛知県海部郡甚目寺町西合宿1-22","792000",""
"売掛金","MP琉球株式会社","沖縄県豊見城市饒波52番地","768956",""
"売掛金","株式会社RCG","沖縄県那覇市高良3-1-1","768431",""
"売掛金","(株)一宙","神奈川県伊勢原市日向777-1","768130",""
"計","","","",""
